number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence
2,163.07165,149.3011,157.7520542,144.7054524,0.66070567,0.689324889,82.6233,13.04556667,41.31165,38.94899714,711.1,751.8333333,700.5214986,742.2464104,0.678308035,0.574199244,244.4,359.2333333,122.2,115.2112649,144.5,140.6666667,144.0416606,140.2628396,0.689976961,0.65877888,23,36.66666667,11.5,10.84230398,9273.5,8414.666667,8908.392111,8100.148535,0.654038573,0.691275553,5153,514.6666667,2576.5,2429.147496,62.7,76.7,46.55416201,60.9941106,0.447985141,0.30244732,84,62.9,42,39.59797975,11.95,14.53333333,9.096153033,11.76866627,0.46485996,0.316944119,15.5,11.73333333,7.75,7.306770072,35,31.33333333,33.22649545,29.81215965,0.64291244,0.692920817,22,0.666666667,11,10.37089946,4,4.333333333,3.872983346,4.217163327,0.661563238,0.540204142,2,2.333333333,1,0.942809042
5,74.290174,56.95731199,60.47722922,35.82165211,1.451830892,0.97430573,122.90607,37.03755413,39.86342571,52.69051377,810.8,1011.690429,765.7151745,940.4523097,1.55085744,0.788561859,772,749.3723571,285.2848611,353.758916,149.8,104.2996429,133.3752548,84.08106181,1.519122019,1.154142224,171,51.94071429,58.78571255,67.00459899,4975.4858,2969.569429,1081.228167,53.54371809,1.309578737,0.776054711,8958.571,1641.043429,3230.297922,3583.070171,63.986,111.7751286,24.19071681,98.51960445,1.121350374,0.777280513,141,81.42696429,57.80373677,42.46841187,6.9944,3.823696429,4.040809989,1.03785929,1.373970844,0.963877518,12.878,1.849517857,4.117368752,4.646364925,113.605316,60.98090286,14.21547979,0.62685326,0.834028207,0.294119126,399.97342,56.69909714,149.1731622,138.0230774,2.2,2.267142857,2.168943542,2.228802148,1.594166699,1.046851411,1,1.140714286,0.4,0.442467571
2,155.05275,172.4351667,146.0206136,164.0864414,0.635474252,0.498909897,104.2945,103.8315,52.14725,49.16489879,717.35,716.6333333,717.3467781,716.6304703,0.693142689,0.63743441,4.3,236.9666667,2.15,2.027039439,163.5,160.3333333,163.2237728,160.0893771,0.691458193,0.653226565,19,45,9.5,8.956685895,11895,11710,11882.04528,11698.5442,0.692058289,0.650126714,1110,3410,555,523.2590181,73.9,61.46666667,63.79592463,53.00973738,0.559718574,0.671761089,74.6,12.66666667,37.3,35.16677725,13.235,10.41333333,10.17393729,7.90373124,0.471702688,0.615352209,16.93,4.053333333,8.465,7.980878537,92.5,73.33333333,72.45688373,56.85156826,0.485045143,0.62549136,115,26.66666667,57.5,54.21151989,5,4.666666667,4.898979486,4.57885697,0.673011667,0.682908105,2,0.666666667,1,0.942809042
6,82.3181122,89.65455432,53.06978736,59.50721563,1.427748967,1.307328732,192.981,40.19614,70.93385834,73.79056456,1029.416667,943.022,961.116526,887.402994,1.725172588,1.682466911,1138.9,244.448,378.0763477,335.9355374,103,112.68,89.20097656,100.2758429,1.658474605,1.508983589,153,34.8,53.33229166,51.72637238,3784.6875,4198.2325,333.5035139,875.7710539,1.258252513,1.219534397,9778.571,1955.8571,3524.744082,3485.157163,168.7,155.84,142.9438484,131.9292324,1.647411121,1.572158315,280,54.58,89.79272428,83.01778364,4.135333333,4.4738,1.82566969,2.389198842,1.31694505,1.247720362,10.678,2.1578,3.833273043,3.871347306,3.62988,4.312628,0.448715304,0.703317859,0.825641308,0.790661629,12.97342,2.597342,5.070465559,5.294947319,3.833333333,4.3,3.203100948,3.77208744,1.647214459,1.448959747,5,1.82,1.950783318,1.791647287
4,142.082,133.99338,137.7794437,131.6711145,1.353465417,1.206121275,92.382,54.61456,37.88026639,28.17421963,712.6,777.466,703.9784274,770.6271952,1.374302141,1.091848684,311,389.86,109.9866356,99.70716345,144.5,136.014,143.8731023,135.3543841,1.382076799,1.219493804,33,49.02,13.08625233,13.45874452,8050,7282.78,7841.66165,7138.034434,1.358755688,1.245350237,5100,2535.2,1949.063878,1618.04279,91.875,134.8808,69.40670373,113.6863845,1.135725356,0.77185507,161.3,93.418,65.3566896,62.48631459,8.1325,11.66982,6.606447939,9.920386025,1.176146479,0.759632915,14.24,8.4892,5.569566298,5.921433489,46.75,32.168,27.55938288,13.27652144,1.109192024,1.039934822,79,18.198,30.43332877,31.33298224,4.25,4.92,4.119534288,4.787519125,1.354581075,1.024477131,3,2.76,1.089724736,1.11067547
5,72.952854,56.79148636,59.1862407,35.76328484,1.445794601,0.999169485,122.90607,36.50111207,40.25019151,52.53178194,776.88,1011.509286,734.6152727,940.2544418,1.549693983,0.799005575,772,747.7135714,282.0370855,353.8438959,151.2,104.3857143,134.6650345,84.11900964,1.52027198,1.183824262,171,51.00357143,58.66651515,67.12052972,5329.0858,2961.288,1130.143913,53.42590689,1.300202852,0.819924793,8958.571,1623.483429,3530.679955,3581.539235,86.386,111.7563571,57.46847303,98.39268398,1.38443342,0.794590522,135.97,81.28864286,50.48701996,42.55524326,8.9644,3.849357143,4.78979196,1.040222306,1.336710751,1.033427316,16.978,1.763214286,5.82042863,4.693712102,107.805316,60.24018857,13.45034894,0.626121402,0.789555346,0.320456165,399.97342,55.69909714,149.3754129,136.957379,2.2,2.264285714,2.168943542,2.226221639,1.594166699,1.063585926,1,1.135714286,0.4,0.440952124
5,74.23165,49.72082733,60.51522055,34.51500397,1.453747136,1.310297721,121.3276,18.13592,39.44587456,42.22868759,816.36,1007.442133,771.8910221,944.7614075,1.552506364,0.896779352,810.6,697.9045333,282.3952592,335.0826471,160,112.1253333,139.595299,88.81937408,1.501217585,1.345773244,205,37.90133333,69.92281459,76.10440389,4816.6858,3151.375467,1074.903488,71.19411575,1.322213067,0.75451423,8958.571,2364.677867,3084.729342,3791.444846,62.09,111.7909333,26.18682439,90.36916285,1.130427572,0.767538207,141,75.996,57.64474304,47.16320103,8.0144,5.423066667,4.549684585,1.378892141,1.384657053,0.985936097,12.878,3.4388,4.438214668,5.767414157,111.005316,109.4675093,13.13117315,1.263719162,0.785623847,0.183988227,399.97342,105.585824,150.6001991,174.2347022,2.2,2.066666667,2.168943542,2.054799318,1.594166699,1.195601594,1,1.061333333,0.4,0.249443826
3,100.84,87.288,98.88172128,86.72944032,1.078912694,0.810393126,48.64,40.69371429,20.15478769,10.25662401,831.4,829.3271429,824.0724265,819.4878978,1.090012649,0.747310508,255.6,498.5985714,107.6821248,125.5835049,138.6666667,140.7142857,134.0186727,134.4165798,1.063833493,0.757336209,87,78.79285714,37.20513704,42.77921487,7113,7189.878571,6761.528406,6704.668566,1.04741615,0.742100496,5461,4272,2313.327618,2683.893567,153.8666667,143.64,140.3546835,128.7795081,1.020892212,0.648288455,123.1,103.9671429,56.93225994,60.83353023,19.63333333,18.77357143,15.0398938,12.48647591,0.880565173,0.531138211,30.6,15.05357143,12.58314569,15.01939038,47.50666667,59.92171429,6.007767717,5.921896057,0.126141955,0.038674197,138.48,59.50714286,64.70347818,68.48473046,6,6,6,6,1.098612289,0.774288651,0,3.171428571,0,0
2,99.66319,94.933423,99.43388235,94.81830686,0.690847238,0.452939712,13.51362,63.007423,6.75681,4.825327502,733.55,684.585,730.2072309,682.9175961,0.688593673,0.465359346,139.9,443.535,69.95,49.95429186,183.5,193.65,182.9262146,193.3518881,0.690021916,0.388105872,29,142.95,14.5,10.35507122,10296.5,9087.95,10150.71968,9016.450976,0.67902254,0.498237899,3453,5481.05,1726.5,1232.967618,71.4,82.74,69.53790333,81.73712387,0.667181952,0.325242279,32.4,66.18,16.2,11.56911405,21.75,25.285,21.15561391,24.96445248,0.665944934,0.32303605,10.1,20.275,5.05,3.606421356,62.5,56.55,61.91930232,56.2630729,0.683870459,0.483790778,17,35.25,8.5,6.070214164,4.5,4.85,4.472135955,4.835412205,0.686961577,0.374254931,1,3.65,0.5,0.357071421
3,119.73599,119.73599,90.85129058,90.85129058,0.901271841,0.901271841,164.1315,54.7105,68.36367966,68.36367966,731.7333333,731.7333333,717.3921367,717.3921367,1.07981185,1.07981185,327,109,138.9026118,138.9026118,162,162,157.3536055,157.3536055,1.071548131,1.071548131,84,28,36.57868232,36.57868232,10345.33333,10345.33333,6861.659938,6861.659938,0.746922078,0.746922078,20230,6743.333333,8776.446712,8776.446712,112.3666667,112.3666667,100.6568798,100.6568798,1.006992177,1.006992177,103,34.33333333,45.01742872,45.01742872,27.5,27.5,20.18393652,20.18393652,0.86261736,0.86261736,43.9,14.63333333,17.95345835,17.95345835,104.3333333,104.3333333,66.38071971,66.38071971,0.837145907,0.837145907,137,45.66666667,64.58241935,64.58241935,4.333333333,4.333333333,4.160167646,4.160167646,1.057905425,1.057905425,3,1,1.247219129,1.247219129
2,52.45854,52.45854,33.40465025,33.40465025,0.355776505,0.355776505,80.89568,40.44784,40.44784,40.44784,874.65,874.65,848.8053487,848.8053487,0.66374588,0.66374588,422.1,211.05,211.05,211.05,132.5,132.5,115.1781229,115.1781229,0.565423118,0.565423118,131,65.5,65.5,65.5,5415,5415,4400.93172,4400.93172,0.512201968,0.512201968,6310,3155,3155,3155,121.5,121.5,116.674933,116.674933,0.653701796,0.653701796,67.8,33.9,33.9,33.9,65.9,65.9,53.04714884,53.04714884,0.504995733,0.504995733,78.2,39.1,39.1,39.1,97,97,86.94826048,86.94826048,0.591388686,0.591388686,86,43,43,43,4.5,4.5,4.472135955,4.472135955,0.686961577,0.686961577,1,0.5,0.5,0.5
5,90.062574,57.14445175,70.84696486,35.87096788,1.440875157,1.188797967,128.2426,31.67345175,47.99059762,52.97314656,735.94,1011.238214,688.274127,939.7649009,1.536299887,0.829540164,781.6,740.5392857,299.2993993,354.2250817,162.6,104.6,143.6782525,84.20790071,1.518162654,1.316570988,171,42.75,62.54150622,67.42941283,4949.4858,2998.716571,1077.26193,53.79100356,1.309866545,0.960887157,8958.571,1469.833429,3213.249745,3611.458697,73.986,111.9898214,49.06727406,99.23871556,1.34753491,0.820575257,135.97,81.31196429,49.91544835,42.17128024,6.9444,3.8515,4.012939674,1.041877472,1.372534459,1.107499754,12.878,1.744571429,4.114263657,4.667999269,93.005316,61.37947429,9.616456185,0.632044439,0.545778871,0.304780901,399.97342,57.12766857,153.9045527,138.4206445,2.4,2.267857143,2.352158045,2.229447743,1.589026915,1.159627709,1,1.107142857,0.489897949,0.442842742
2,67.3547,67.3547,43.58083035,43.58083035,0.36446659,0.36446659,102.7106,51.3553,51.3553,51.3553,1010.65,1010.65,964.3326293,964.3326293,0.647674503,0.647674503,604.9,302.45,302.45,302.45,96.5,96.5,83.42661446,83.42661446,0.560907592,0.560907592,97,48.5,48.5,48.5,3655.7145,3655.7145,102.2056261,102.2056261,0.001864592,0.001864592,7308.571,3654.2855,3654.2855,3654.2855,125.65,125.65,124.5150593,124.5150593,0.684128272,0.684128272,33.7,16.85,16.85,16.85,3.611,3.611,1.246595363,1.246595363,0.137303101,0.137303101,6.778,3.389,3.389,3.389,33.51329,33.51329,1.334488666,1.334488666,0.003502603,0.003502603,66.97342,33.48671,33.48671,33.48671,3,3,2.828427125,2.828427125,0.636514168,0.636514168,2,1,1,1
7,96.3379,89.03205099,69.55430803,68.91316799,1.665018874,1.507309136,192.981,36.79009752,73.49473506,64.66844834,752.1,722.39,723.1830726,699.1470824,1.902236586,1.694989192,764.1,208.8555446,238.051183,210.3971677,153.4285714,159.8950495,141.1008752,149.5091516,1.882108791,1.59041192,171,41.84257426,50.07097004,47.73537696,5767.347,5543.656337,1664.299733,2129.964552,1.623436564,1.317943823,11338.571,2581.403069,4111.674357,3929.697526,64.88571429,68.78594059,35.86453861,31.78707137,1.592534359,1.237501428,138.63,34.08118812,50.59086079,55.02614572,9.761714286,9.359009901,5.85377437,6.880317283,1.691173665,1.463204113,22.578,3.752376238,6.578713763,3.931307244,101.2895114,164.5263941,18.13863811,37.60302895,1.164777554,0.809642877,399.97342,115.2448931,137.1433269,165.0751266,3.142857143,2.620792079,2.869005799,2.423469075,1.855372725,1.675638183,3,0.846534653,1.355261854,1.190624832
2,157.7002,174.7936,149.1297897,166.882753,0.639304188,0.504456852,102.5604,103.8469333,51.2802,48.34743621,753.2,736.4333333,751.5185626,734.9497659,0.69091562,0.655511703,100.6,200.7666667,50.3,47.42329479,156,151.6666667,155.4573897,151.1887907,0.689670928,0.659711615,26,39,13,12.25651754,10901.5,10527.66667,10843.65898,10476.83696,0.687846097,0.664395785,2243,2512.333333,1121.5,1057.36034,73.95,80.2,71.53348866,77.98890967,0.660649876,0.538582366,37.5,43.4,18.75,17.67766953,13.8,12.83333333,13.49184939,12.56579072,0.670901279,0.684347515,5.8,1.7,2.9,2.734146221,39.5,29,23.83275058,16.563271,0.327855402,0.477267994,63,18.33333333,31.5,29.69848481,4.5,4.666666667,4.472135955,4.641588834,0.686961577,0.598269589,1,2,0.5,0.471404521
5,105.00781,56.46202,80.06715241,36.48256615,1.430163005,1.473973976,151.2596,16.79161077,56.30296253,51.81877582,733.64,999.3030769,684.619753,930.6006518,1.534320771,0.909484409,810.6,690.8507692,301.8255032,347.6605418,183.8,116.2615385,157.9454177,90.37419198,1.498747046,1.453710097,205,31.32307692,78.11632352,81.59586659,5635.4858,3231.200231,1220.242733,69.3804262,1.329763998,1.02592348,9064.571,2066.922846,3466.703248,3889.905613,76.17,110.7384615,58.75372387,89.96291576,1.402808585,0.826397812,127.05,75.14615385,47.36268151,47.21664127,9.6244,5.504153846,5.022076048,1.350712073,1.320947681,1.171568087,19.678,2.903538462,6.574707708,6.238717593,89.205316,96.18354308,8.210780021,1.081020659,0.444928184,0.201240708,399.97342,92.29338,155.5185254,166.5449913,2.6,2.107692308,2.491461879,2.081707687,1.56495725,1.301325543,2,0.953846154,0.8,0.397030397
4,76.4445625,51.38175135,59.35667247,35.04076313,1.199540745,1.291293973,121.3276,14.34348649,43.82335412,44.22294895,794,1002.428185,741.6293489,936.3405568,1.315004308,0.893243229,810.6,657.1926641,311.7434923,342.5148865,164.5,114.7953668,139.0005138,89.90191023,1.256700567,1.339497657,205,22.7027027,77.52580216,79.28006547,4235.85725,2963.855718,669.5565878,67.3325439,1.015407123,0.81278429,8958.571,2074.908761,3194.938946,3641.516198,77.2375,109.0405405,53.52796465,86.37289339,1.105182174,0.76482525,127.05,74.09073359,54.83075523,49.49760044,8.1805,5.269722008,4.035568999,1.346219806,1.112098197,1.042481203,12.878,2.915606178,4.948155288,5.650786065,108.756645,96.7710217,7.55238461,1.112153045,0.336261916,0.203139077,399.97342,92.64982772,168.3010468,166.6534189,2.25,2.077220077,2.213363839,2.063610725,1.368922361,1.203842792,1,0.841698842,0.433012702,0.266940325
5,83.23184064,86.14506032,49.10085624,55.46426149,1.17611373,1.157931209,192.981,40.19614,77.86230013,75.58469748,1047.02,947.51,964.9572165,891.3749964,1.531654322,1.475372866,1139.9,291.58,412.1054787,336.5169311,101,109.4,85.76370005,97.89450326,1.458644789,1.344053016,143,32.8,55.3281122,48.99836732,3686.425,4078.1125,198.8304245,828.8734835,0.944017447,1.035831415,9778.571,1955.8571,3905.997427,3603.312799,163.54,156.64,135.1968147,133.24608,1.436851245,1.319470264,278,70.3,96.95115471,82.71377394,3.7224,4.0202,1.430317073,2.122799179,1.006897416,1.0506583,10.678,2.1578,4.071571569,3.854716638,3.851856,3.887428,0.421360922,0.631395603,0.75169326,0.779099779,10.97342,2.197342,4.708705248,4.680262912,3.6,4.5,2.992555739,3.995484947,1.460970748,1.199529833,5,2.3,1.854723699,1.688194302
