 n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, data_channel_is_lifestyle, data_channel_is_entertainment, data_channel_is_bus, data_channel_is_socmed, data_channel_is_tech, data_channel_is_world, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, weekday_is_monday, weekday_is_tuesday, weekday_is_wednesday, weekday_is_thursday, weekday_is_friday, weekday_is_saturday, weekday_is_sunday, is_weekend, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity
9,381,0.593085105,0.999999996,0.782608692,6,4,2,0,4.640419948,6,0,0,0,0,1,0,-1,741,173.1666667,2600,843300,294150,1792.166667,3624.272727,3069.14922,104100,104100,104100,1,0,0,0,0,0,0,0,0.033334235,0.200338861,0.033340362,0.033333927,0.699652616,0.448681818,0.129704545,0.034120735,0.020997375,0.619047619,0.380952381,0.372027972,0.1,0.8,-0.1703125,-0.4,-0.008333333,0,0,0.5,0
9,1089,0.430438842,0.999999998,0.626817446,13,0,1,0,4.772268136,9,1,0,0,0,0,0,-1,681,191.125,0,843300,236044.4444,0,27627,5859.93295,0,0,0,0,0,0,1,0,0,0,0,0.690944582,0.022255187,0.242018597,0.022269352,0.022512283,0.390292578,0.059128372,0.056014692,0.024793388,0.693181818,0.306818182,0.241759102,0.033333333,0.6,-0.232936508,-1,-0.05,0,0,0.5,0
9,256,0.596774191,0.999999994,0.735849052,7,2,0,1,4.640625,10,0,0,0,0,0,1,4,1600,395.7777778,0,843300,141449.4,0,3577.842697,2169.282105,1100,1100,1100,1,0,0,0,0,0,0,0,0.366315798,0.020010754,0.23200511,0.020081521,0.361586816,0.251851852,0.037037037,0.01171875,0.01171875,0.5,0.5,0.233333333,0.1,0.5,-0.122222222,-0.166666667,-0.1,0,0,0.5,0
13,205,0.714285711,0.999999993,0.733812944,18,3,14,1,5.009756098,9,0,0,0,0,0,0,4,457,119.4285714,0,843300,409433.3333,0,8091.916667,3947.669476,1600,2400,2000,0,0,0,0,0,1,0,1,0.022224236,0.136733049,0.02222343,0.796596145,0.02222314,0.255555556,0.134920635,0.019512195,0.004878049,0.8,0.2,0.275,0.2,0.5,-0.155555556,-0.155555556,-0.155555556,0,0,0.5,0
10,1342,0.391370174,0.999999999,0.5323741,22,21,27,0,4.711624441,9,0,0,0,0,1,0,-1,1100,270,0,843300,355600,0,28275.58333,5450.180975,610,3300,1944.083333,0,0,1,0,0,0,0,0,0.14369503,0.022245215,0.097739971,0.022235993,0.714083792,0.378508159,0.131297959,0.043219076,0.013412817,0.763157895,0.236842105,0.303642335,0.05,0.8,-0.135416667,-0.4,-0.05,0,0,0.5,0
7,322,0.576802506,0.999999995,0.752631575,8,7,1,0,4.571428571,5,0,1,0,0,0,0,-1,638,204.4,27300,843300,235140,2425.7,3549.285714,3053.146874,638,5200,2127.833333,1,0,0,0,0,0,0,0,0.040000225,0.839894718,0.040000412,0.040104402,0.040000243,0.521809524,0.046285714,0.034161491,0.034161491,0.5,0.5,0.463636364,0.05,1,-0.358441558,-1,-0.071428571,1,0,0.5,0
9,342,0.585889569,0.999999995,0.703349279,6,3,0,11,4.473684211,7,0,0,0,0,0,0,217,688,393.2857143,18400,617900,372285.7143,3229.066699,7265.361446,5033.312459,3500,7100,5266.666667,0,0,0,1,0,0,0,0,0.179497568,0.028817603,0.028583806,0.734486044,0.028614979,0.495929339,0.129569892,0.058479532,0.01754386,0.769230769,0.230769231,0.339166667,0.05,1,-0.344444444,-0.6,-0.1,0,0,0.5,0
9,494,0.529896906,0.999999996,0.759999997,12,0,1,0,4.48582996,6,0,0,0,0,0,1,-1,913,311.6666667,4500,843300,275300,2177.873653,5842.6,3342.847374,0,0,0,0,1,0,0,0,0,0,0,0.033345567,0.034372308,0.698936457,0.033334433,0.200011235,0.473123123,0.128750341,0.038461538,0.020242915,0.655172414,0.344827586,0.32930622,0.136363636,0.6,-0.149305556,-0.3,-0.05,0,0,0.5,0
10,1035,0.42053307,0.999999998,0.562790697,23,8,16,0,4.567149758,10,0,1,0,0,0,0,4,882,355,0,843300,193510,0,12081.5,3473.473566,651,18200,5530.2,0,0,1,0,0,0,0,0,0.318096251,0.336267811,0.020004127,0.305375981,0.020255829,0.481807359,0.211125541,0.056038647,0.000966184,0.983050847,0.016949153,0.261664054,0.033333333,0.7,-0.125,-0.125,-0.125,0,0,0.5,0
14,502,0.536585365,0.999999997,0.685534589,11,0,2,0,5.239043825,7,0,0,0,0,0,1,-1,702,155.1666667,0,843300,175514.2857,0,3684.823529,2539.795763,0,0,0,0,0,1,0,0,0,0,0,0.028573811,0.028573844,0.885705009,0.028573936,0.0285734,0.50627385,0.151108305,0.053784861,0.011952191,0.818181818,0.181818182,0.303164983,0.1,0.75,-0.242592593,-0.7,-0.05,0.55,0.4,0.05,0.4
10,319,0.605960263,0.999999994,0.79428571,9,6,3,0,4.742946708,5,0,0,0,0,1,0,-1,602,165,14800,843300,242140,2350.717949,3586.416256,3135.181237,2000,14800,8400,0,1,0,0,0,0,0,0,0.040192519,0.040002698,0.040215115,0.040001121,0.839588547,0.528787879,0.249380165,0.043887147,0.006269592,0.875,0.125,0.463311688,0.1,1,-0.5,-0.6,-0.4,0,0,0.5,0
11,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,0,-1,571,98.44875,6400,843300,479700,2556.533333,7044.620322,4358.837176,0,0,0,0,1,0,0,0,0,0,0,0.025000176,0.507167002,0.025000289,0.417832466,0.025000067,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.2
12,421,0.6143617,0.999999997,0.694158073,32,4,44,1,4.852731591,7,0,0,0,0,0,0,-1,519,133.5128571,28400,843300,534228.5714,3372.033333,8101.765625,5407.13,2100,19000,10550,0,1,0,0,0,0,0,0,0.028571543,0.028608766,0.02857148,0.8856767,0.028571511,0.532010582,0.216953263,0.045130641,0.011876485,0.791666667,0.208333333,0.38245614,0.1,1,-0.281785714,-0.6,-0.071428571,0,0,0.5,0
11,732,0.498626373,0.999999998,0.635643563,18,1,1,0,5.653005464,4,0,0,1,0,0,0,-1,425,160.6475,2000,843300,420025,1034.0625,3574.804905,2854.856646,0,0,0,1,0,0,0,0,0,0,0,0.799999508,0.050000211,0.050000109,0.050000096,0.050000076,0.367793272,0.155773189,0.047814208,0.005464481,0.897435897,0.102564103,0.325299938,0.033333333,1,-0.375,-0.6,-0.25,0.5,0.5,0,0.5
8,352,0.574285713,0.999999995,0.71361502,8,5,1,0,5,9,0,0,1,0,0,0,-1,640,184.19875,0,843300,300666.6667,0,5311.059829,2735.309932,981,12200,4970.25,0,1,0,0,0,0,0,0,0.463982311,0.02222331,0.467542416,0.024028629,0.022223335,0.347570948,0.084824435,0.034090909,0.03125,0.52173913,0.47826087,0.437301587,0.166666667,0.8,-0.154401154,-0.5,-0.071428571,0,0,0.5,0
